waa’ankieli	escamaen el tobillo
walolatoja	corrientes de luz
walolatomakone	fotocomponedora
walolähde	fuente de luz
waloläikkä	parche de luz
waloläiskä	punto de luz
walomainos	señalización iluminada
walomajakka	faro luminoso
walomeri	mar ligero
walomerkki	indicador óptico
walomikroskooppi	microscopio óptico
walomuisti	memoria de luz
walonappula	botón de luz
walonarkuus	FOTOFOBIA
walonheitin	generador de luz
walonkajastus	eco de luz
walonkajo	emisor de luz
walonkesto	solidez a la luz
walonkestävyys	solidez a la luz
walonleimahdus	luz intermitente
walonleimaus	estampación ligera
walonloiste	flujo luminoso
walonlähde	lumbrera
walonmittaus	medición de la luz
walonpesin	arandela ligera
walonpilkahdus	destello de luz
walonsaanti	acceso a la luz
walonsäde	haz de luz
walonsäteily	radiación luminosa
walonvälähdys	destello de luz
walonäytelmä	espectáculo de luces
walo-ohjaus	control de luz
walo-opaste	guía de luz
walo-opastin	señal luminosa
walo-oppi	óptica
walopakoisuus	luminosidad
walopatruuna	cartucho de luz
walopetroli	queroseno
walopiha	patio de luces
walopilkku	mancha solar
walopiste	indicación visual
walopistooli	pistola de señales
walopoiju	boya ligera
walopöytä	mesa de miraje
waloraketti	bengala señuelo
waloreaktio	fotorreacción
walorysä	trampa de luz
walos	moldeo por colada
walosaaste	contaminación lumínica
walosarja	kit de luces
waloshow	espectáculo de luces
walosähkö	fotoelectricidad
walosähkötys	fotoelectrografía
walotaide	arte de luz
walotaiteilija	artista de la luz
walotaulu	tablero de luz
walotehoste	efecto luminoso
waloteksti	texto claro
waloteos	lightwork
walotiheys	luminancia
walotus	exposición
walotusaika	duración de exposición
walotusarvo	valor de exposición
walotusmittari	fotómetro
walotusvirhe	error de exposición
walourut	canales de colada
waloverho	protección fotoeléctrica
walovirta	flujo luminoso
walovoima	potencia de una luz
walovuosi	año-luz
waloärsyke	estímulo luminoso
walppaus	vigilancia
walssaaja	rodillo
walssaamo	laminador
walssain	laminador
walssaus	machacado
walssaus	machacado
walssauskone	laminador
walssauslaitos	laminador
walssi	mezclador de cilindros
walssi	mezclador de cilindros
walssikone	laminadora
walssilaitos	laminador
walta	dominación
waltaaja	conquistador
waltaannousu	ascenso al poder
waltaanpääsy	acceso al poder
waltaantulo	toma de poder
walta-asema	posición de dominancia
waltaeliitti	power elite
waltaenemmistö	abrumadora mayoría
waltaistuin	trono
waltaistuinpuhe	discurso del trono
waltaisuus	gloriosidad
waltakamppailu	lucha de poder
waltakausi	reinado
waltakieli	lengua dominante
waltakirja	plenos poderes
waltakoneisto	aparato de potencia
waltakulttuuri	cultura del imperio
waltakunnallisuus	a nivel nacional
waltakunnanoikeus	corte Imperial
waltakunnanraja	frontera nacional
waltakunnansali	salón del Reino
waltakunnansovittelija	conciliador nacional
waltakunnansyyttäjä	Director General de la Fiscalía
waltakunnanverkko	red nacional
waltakunta	reino
waltalaji	especie dominante
waltalehti	power magazine
waltamedia	ocean media
waltameri	océanos
waltamerialus	buque oceánico
waltameripurjehdus	navegación oceánica
waltameriristeily	crucero por el océano
waltaoikeus	poder notarial
waltaoja	dren colector principal
waltaosa	la gran mayoría
waltapeli	juego de poder
waltapiiri	esfera de poder
waltapolitiikka	política de poder
waltapuolue	partido gobernante
waltapuu	árbol de poder
waltapyrkimys	aspiración de potencia
waltarakenne	estructura de poder
waltaryhmittymä	grupo de potencia
waltasuoni	capilar
waltataistelu	lucha de poder
waltatie	carretera
waltatieverkko	red de carreteras
waltatyhjiö	vacío de potencia
waltaus	absorción
waltavirta	corriente principal
waltavirtaistus	mainstreaming
waltavirtaus	mainstreaming
waltavuus	inmensidad
waltaväestö	la población mayoritaria
waltaväri	color maestro
waltaväylä	autopista
waltias	lord
waltiatar	señora
waltikka	cetro
waltimo	Arteria
waltimonkovettumistauti	arteriosclerosis
waltimonkovetustauti	aterosclerosis
waltimonlaajentuma	dilatación arterial
waltimonrasvoittumistauti	aterosclerosis
waltimonsyke	latidos cardíacos arteriales
waltimopunos	plexo arterial
waltimotulehdus	ARTERIA, REACCION INFLAMATORIA
waltimoveri	sangre arterial
waltio	estado
waltioelin	organismo estatal
waltiojohtaja	jefe de Estado
waltiojärjestys	pedido estatal
waltiokapitalismi	capitalismo de Estado
waltiokoneisto	maquinaria estatal
waltiolaiva	buque estatal
waltioliitto	Confederación
waltiolippu	bandera de estado
waltiomahti	poder estatal
waltiomies	Estadista
waltiomiestaito	estadista
waltiomiesteko	acto de estadista
waltiomuoto	formulario de estado
waltionapu	ayuda estatal
waltionarkeologi	arqueólogo estatal
waltionavustus	ayuda pública
waltioneuvos	consejero de Estado
waltioneuvosto	Consejo de Ministros
waltionhallinto	administración central
waltionhoitaja	regente
waltionhoitajapuolue	parte regente
waltionjohtaja	jefe de Estado
waltionkirkko	iglesia estatal
waltionmetsä	bosque estatal
waltionmonopoli	monopolio estatal
waltionobligaatio	renta
waltionosuus	subsidio estatal
waltionpalkinto	premio estatal
waltionperintö	patrimonio estatal
waltionpäämies	jefe de Estado
waltionsyyttäjä	fiscal regional
waltiontakaus	garantía del Estado
waltiontalous	finanzas del gobierno central
waltionterrorismi	terrorismo de Estado
waltiontilintarkastaja	Inspector de finanzas del Estado.
waltionvelka	deuda pública
waltionvero	impuesto estatal
waltionverotus	fiscalidad estatal
waltionyhtiö	empresa estatal
waltio-oikeus	derecho estatal
waltio-omistaja	propietario-estatal
waltio-oppi	0 Ciencias políticas
waltiopetos	traición
waltiopäiväedustaja	miembro del Parlamento
waltiopäiväjärjestys	orden del parlamento estatal
waltiopäivämies	reichstag
waltiopäivät	Parlamento Sueco
waltiorikos	delito estatal
waltiosalaisuus	secreto de estado
waltiosihteeri	subsecretario parlamentario
waltiosopimus	tratado
waltiososialismi	socialismo de estado
waltiosääntö	constitución
waltiosääntöoikeus	derecho constitucional
waltioterrorismi	terrorismo de Estado
waltiotiede	ciencias políticas
waltiovalta	potestad estatal
waltiovarainministeri	Ministro de Hacienda
waltiovarainministeriö	Ministerio de Hacienda
waltiovarainvaliokunta	comité de Finanzas
waltiovierailu	visita de Estado
waltiovieras	invitado de estado
waltioviisaus	sabiduría del estado
waltius	estado
waltti	trump
walttikortti	carta de triunfo
walttipakko	trump
walttiässä	trompeta as
waltuus	capacidad legal
waltuuskirja	poder notarial
waltuuskirje	carta de delegación
waltuuskunta	delegación
waltuuslaki	ley normativa
waltuusto	consejo
waltuustoryhmä	grupo del consejo
waltuuttaja	parte poderdante
waltuutus	autorización
walu	colada en cuchara
walubetoni	hormigón colado
waluma	tamizado
waluma-alue	cuenca hidrológica
walumassa	vertido
walumavesi	agua de escorrentía
walumetalli	metal fundido
walumuotti	modelo de fundición
walunta	escorrentía
walurauta	fundición
walurautapata	olla de hierro fundido
waluteräs	acero para piezas moldeadas
walutuote	producto de fundición
walutus	indoloro
waluutansäännöstely	regulación monetaria
waluutta	Moneda
waluutta-automaatti	máquina de divisas
waluuttabaari	barra de divisas
waluuttadiileri	distribuidor de divisas
waluuttaindeksi	índice de divisas
waluuttakauppa	circulación de divisas
waluuttakeinottelu	especulación de divisas
waluuttakori	unidad monetaria compuesta
waluuttakurssi	paridades de cambio
waluuttakäärme	serpiente de divisas
waluuttalaskuri	contador de divisas
waluuttaluotto	crédito en divisas
waluuttamarkkinat	mercado de divisas
waluuttamyymälä	tienda de divisas
waluuttanoteeraus	presupuesto de divisas
waluuttaosasto	departamento de divisas
waluuttapako	vuelo de divisas
waluuttapolitiikka	política de cambios
waluuttaputki	tubo de divisas
waluuttarahasto	fondo de divisas
waluuttasäännöstely	regulación monetaria
waluuttatappio	quebranto por cambio de moneda
waluuttatili	cuenta de divisas
waluuttavaranto	reservas internacionales brutas
waluvika	defecto de colada
walvatti	vigilante
walve	protección
walveillaolo	estar despierto
walveillaoloaika	tiempo de vigilia
walvetila	modo de activación
walveuni	sueño despierto
walvoja	superintendente
walvojaiset	ceremonia de supervisión
walvomo	sala de control de una subestación
walvonta	vigilancia
walvontajoukko	conjunto de control
walvontakamera	cámara de vigilancia
walvontakeskus	centro de control
walvontakomissio	comisión de Supervisión
walvontapeili	espejo de vigilancia
walvontapöytä	consola de medida
walvontarangaistus	penalización por supervisión
walvontataulu	panel de control
walvontatelevisio	televisión de vigilancia
walvontaviranomainen	servicio de vigilancia
walvontayhteiskunta	sociedad de vigilancia
walvotus	vigilancia
walvuri	guardia
walööri	valja
wamma	lesión
wammaishuolto	atención a discapacitados
wammaisjärjestö	organización de personas con discapacidad
wammaisopiskelija	estudiante discapacitado
wammaispalvelu	servicio de discapacidad
wammaispuhelin	teléfono desactivado
wammaistuki	subsidio de invalidez
wammaistyö	trabajo discapacitado
wammaisurheilija	atleta discapacitado
wammaisurheilu	deportes para discapacitados
wammaisuus	incapacidad
wammaisuusaste	grado de discapacidad
wammaisväline	instrumento de hándicap
wamppaus	calambres
wamppi	vamp
wampyyri	Vampiro
wana	arrastre
wanadiini	vanadio
wanamo	vanamo
wanavesi	estela
wandaali	vandalismo
wandalismi	vandalismo
wandalisointi	vandalismo
waneri	madera contrachapada
wanerikoivu	abedul contrachapado
wanerilevy	tablero de madera contrachapado
waneriteollisuus	industria de la madera contrachapada
wanginpuku	traje carcelario
wanginvaatteet	ropa de prisionero
wanginvartija	carcelero
wangitsija	captor
wanhaemäntä	antigua anfitriona
wanhahtavuus	obsolescencia
wanhainkoti	asilo de ancianos
wanhaisäntä	ujier
wanhakaupunki	casco antiguo
wanhanaikaisuus	anticuado
wanhanpiianvero	antiguo impuesto sobre el maíz
wanhanpojanvero	impuesto old boy
wanhapiika	solterona
wanhapoika	muchacho viejo
wanhemmuus	Patría Potestad
wanhempainilta	noche de padres
wanhempainkoulu	escuela de crianza
wanhempainloma	permiso parental
wanhempainneuvosto	consejo de Padres
wanhempainpäiväraha	subsidio parental
wanhempainraha	Ayudas familiares
wanhempainvapaa	permiso parental
wanhempainyhdistys	asociación de los padres de alumnos
wanhennus	quemado
wanhoillisuus	conservadurismo
wanhojenpäivä	día de los ancianos
wanhojentanssit	bailes pasados de moda
wanhurskaus	justicia
wanhurskauttamisoppi	doctrina de la justificación
wanhus	personas mayores
wanhustenhoito	cuidado de personas mayores
wanhustenhuolto	servicio de cuidado de ancianos
wanhustenkerho	club de ancianos
wanhustentalo	casa de ancianos
wanhustyö	trabajo de vejez
wanhustyöntekijä	trabajador de edad avanzada
wanhuudenheikkous	fragilidad de la vejez
wanhuudenpäivät	días de vejez
wanhuudenturva	seguridad de vejez
wanhuus	vejez
wanhuuseläke	pensión de vejez
wanhuusikä	vejez
wanikka	natillas
wanilja	Vainilla
waniljajäätelö	helado de vainilla
waniljakastike	natillas
waniljasokeri	azúcar de vainilla
waniljatanko	barra de vainilla
wanilliini	vainillina
wanilliinisokeri	vainilla azucarada
wanja	vanja
wankeinhoito	penitenciaria
wankeinhoitoviranomainen	autoridad penitenciaria
wankelmoottori	motor wankel
wankennus	estabilización
wankeus	cautiverio
wankeusrangaistus	pena de prisión
wankeustuomio	encarcelamiento
wanki	cautivo
wankikarkuri	convicto fugado
wankikoppi	caseta penitenciaria
wankila	prisión
wankilakapina	disturbios en la prisión
wankilakundi	preso
wankilanjohtaja	alcaide
wankilaoikeus	tribunal penitenciario
wankilapappi	sacerdote de prisión
wankilapsykiatri	psiquiatra penitenciario
wankilapsykiatria	psiquiatría penitenciaria
wankileiri	campo de detención
wankimielisairaala	hospital psiquiátrico penitenciario
wankiselli	celda de prisión
wankistus	encarcelamiento
wankityrmä	Mazmorra
wankityö	trabajo de los presos
wankkumattomuus	firmeza
wankkurit	coche de toldo
wankkuriteltta	carpa para vagones
wankkuus	robustez
wanna	vanna
wannas	reja
wanne	llanta
wannehame	falda de aro
wannesaha	sierra de cinta
wanneteräs	redondos para hormigón
wannike	baño
wannonta	juramento
wannotus	juramento
wantteruus	irritabilidad
wantti	obenque
wanttu	vanttu
wantus	vantus
wanu	guata
wanukas	Budín
wanukirjonta	bordado guata
wanumattomuus	inercia
wanupuikko	hisopo de algodón
wanutukko	bastoncillo de algodón
wanutuppo	tampón de algodón
wanutus	enfurtido
wanutäyte	relleno de guata
wapa	Con caña
wapaa-aika	tiempo libre
wapaa-ajanasukas	residente de ocio
wapaa-ajanasunto	apartamento de ocio
wapaa-ajattelija	librepensador
wapaa-ajattelu	Librepensador
wapaa-alue	zona franca
wapaaehtoistyö	voluntariado
wapaaehtoistyöntekijä	voluntario
wapaaehtoisuus	voluntariado
wapaaheitto	tiro libre
wapaaheittoviiva	línea de tiro libre
wapaaherra	barón
wapaaherratar	baronesa
wapaahetki	recreación
wapaailta	noche libre
wapaakappale	ejemplar de depósito legal
wapaakauppa	libre comercio
wapaakauppa-alue	zona de libre comercio
wapaakauppasopimus	acuerdo de librecambio
wapaakaupunki	ciudad gratis
wapaakiipeily	escalada freestyle
wapaakirkko	iglesia gratuita
wapaakirkollisuus	free Church
wapaakivääri	rifle gratis
wapaakivääriammunta	disparos de rifle gratis
wapaakunta	parroquia gratuita
wapaakytkin	free-switch
wapaakyyti	viaje gratis
wapaalasku	aterrizaje libre
wapaalippu	pase de libre circulación
wapaalippulainen	free-ticket
wapaaluistelu	patinaje libre
wapaalyönti	carrera libre
wapaamatkustaja	viajero con transporte gratuito
wapaamielisyys	liberalismo
wapaamuotoisuus	libreformismo
wapaamuurari	francmasonería
wapaamuurarijärjestö	francmasonería
wapaamuurariloosi	logia de Francmasonería
wapaamuurarius	francmasonería
wapaaohjelma	programa gratuito
wapaaopisto	freestyle College
wapaaoppilas	estudiante gratuito
wapaaottelija	jugador de artes marciales mixtas
wapaaottelu	artes marciales mixtas
wapaapaini	lucha libre
wapaapalokunta	cuerpo de bomberos voluntarios
wapaapalokuntalainen	bombero voluntario
wapaapistooli	pistola gratis
wapaapistooliammunta	tiro de pistola gratis
wapaapotku	tiro libre
wapaapäivä	día quebrado
wapaarytmisyys	ritmo libre
wapaasatama	puerto franco
wapaasukellus	apnea
wapaasukeltaja	buceador libre
wapaataival	free-wheeling
wapaatanssi	baile gratis
wapaatunti	hora informal
wapaauinti	estilo libre
wapaavarasto	depósito franco
wapaavarsi	brazo libre
wapaavarsikone	máquina de brazo libre
wapaavuoro	turno libre
wapaavuosi	base del porcentaje de los siniestros a las primas
wapahdus	redención
wapahtaja	salvador
wapakalastus	pesca libre
wapari	vapar
wapaudenaate	ideología de la libertad
wapaudenkaipuu	anhelo de libertad
wapaudenmitali	medalla de la Libertad
wapaudenriisto	privación de libertad
wapaudenristi	cruz de la Libertad
wapaus	libertad
wapausrangaistus	pena privativa de libertad
wapaussota	guerra de la Independencia
wapaussoturi	guerrero de la libertad
wapaustaistelija	luchador por la libertad
wapaustaistelu	lucha por la libertad
wapauttaja	liberador
wapautus	exención
wapautusarmeija	ejército de Liberación
wapautusjärjestö	organización para la Liberación
wapautusliike	movimiento de liberación
wapautusrintama	frente de Liberación
wapina	inestabilidad
wapiti	vapiti
waporisaattori	vaporizador
wappu	Noche de Walpurgis
wappuaatto	Auxilio 
wappuhattu	sombrero del Día de Mayo
wappuheila	may Day Rack
wappuhuiska	águila del alcalde
wappuhumu	colibrí del Primero de Mayo
wappuilmapallo	globo del Primero de Mayo
wappujuhla	celebración del Primero de Mayo
wappukulkue	procesión del Primero de Mayo
wappumarssi	primero de Mayo Marzo
wappunaamari	máscara del Primero de Mayo
wappupallo	baile del Primero de Mayo
wappusima	primero de mayo
wappuviuhka	ventilador del Primero de Mayo
wappuyö	noche de mayo
wapunaatto	víspera del Primero de Mayo
wapunpäivä	Día laboral 
wapunvietto	primero de mayo
wara	activo
waraaja	cargador de batería
wara-amiraali	Almirante
waraamo	oficina de reservas
waraani	mi dinero
wara-avain	llave de repuesto
warahenkilö	diputado
warainhankinta	Obtención de fondos
warainhoitaja	gestor de activos
warainhoito	gestión financiera
warainhoitokausi	periodo fiscal
warainhoitovuosi	ejercicio presupuestario
warainkeruu	recaudación de fondos
warainkeräys	recaudación de fondos
warainkerääjä	recaudación de fondos
warainsiirtovero	impuesto sobre transferencias
warajohtaja	Vicedirector
warajäsen	suplente
warakkuus	riqueza
waralaskupaikka	aeródromo suplementario
warallaolo	retén
warallaoloaika	tiempo de disponibilidad en parada
warallaolopäivystys	servicio de espera
warallisuus	elemento del activo
warallisuusasema	situación financiera
warallisuusoikeus	derecho de la propiedad
warallisuusrangaistus	pena capital
warallisuusrikos	delito contra la propiedad
warallisuusvero	contribución territorial
waramiehistö	tripulación de reserva
waramiehitys	ocupación de reserva
waramies	alternativo
waranotaari	varanotari
waranto	reservar
waraosa	pieza de recambio
waraosamyyjä	distribuidor de piezas de repuesto
waraosamyymälä	almacén de piezas de repuesto
warapoistumistie	salida auxiliar
warapresidentti	Vicepresidente
warapuheenjohtaja	Vicepresidente
warapuhemies	Vicepresidente
warapyörä	rueda de repuesto
warapääministeri	viceprimer Ministro
wararahasto	reserva para imprevistos
wararavinto	reservar nutrición
wararehtori	vicedirector
warareitti	camino de reserva
wararengas	llanta de repuesto
warareservi	reservar
wararikko	quiebra
waras	Hurto
warashälytin	alarma antirrobo
warasjoukkio	ladrones
warasjoukko	escuadrón de ladrones
waraskopla	banda de ladrones
warasliiga	liga temprana
waraslähtö	ventaja inicial
warastelu	robo
warasto	almacén
warastoalue	área de almacenamiento
warastohotelli	hotel almacén
warastohuone	trastero
warastohylly	estante de almacén
warastoinninkestävyys	resistencia de almacenamiento
warastointi	almacenaje
warastointiaika	duración de conservación
warastointikustannukset	gastos de almacenamiento
warastokirjanpito	contabilidad de existencias
warastoluettelo	lista de inventario
warastomies	hombre de almacén
warastomyymälä	almacén
warastomyynti	ventas de acciones
warastonhoitaja	responsable de almacén
warastonhoito	gestión de almacenes
warastopaikka	cargadero
warastopäällikkö	responsable de almacén
warastorakennus	depósito
warastorauta	plancha stock
warastoravinto	nutrición de existencias
warastosiilo	Silo
warastosolukko	celda de stock
warastotappio	pérdida de existencias
warastotauti	enfermedades del tabaco almacenado
warastotavara	artículo en stock
warastotila	espacio de almacenamiento
warastotuholainen	parásito de los almacenes
warastotyöntekijä	trabajador de almacén
warasvalta	poder rico
waratie	metro
waratoimitusjohtaja	director ejecutivo adjunto
warattomuus	pobreza
warattomuustodistus	prueba de falta de fondos
warattu-ääni	tono de ocupado
waratuomari	master of Laws
warauksellisuus	reserva
warauloskäynti	salidas de emergencia de pasajeros
warauloskäytävä	escalera de urgencia
warauma	reserva
waraus	reserva
warauskyky	capacidad de reserva
warausmetsä	bosque de reserva
warausnumero	Numero de Reservas
waraustila	estado de carga
waraustunnus	iD de la reserva
waraustupa	sala de reservas
warautumiskyky	aceptación de carga
warautuvuus	preparación
waravarjo	paracaídas reserva
waraventtiili	válvula de emergencia
waravirtalähde	fuente de energía de emergencia
waravoimala	central eléctrica auxiliar
warenikliini	Vareniclina
warhaisaamiainen	desayuno temprano
warhaisaamu	madrugada
warhaisaste	fase inicial
warhaiseläke	Jubilación anticipada
warhaishistoria	Protohistoria
warhaisikä	edad temprana
warhaisjakelu	entrega anticipada
warhaiskaali	coliflor
warhaiskasvattaja	educador de la primera infancia
warhaiskasvatus	enseñanza de la primera infancia
warhaiskausi	periodo Inicial
warhaiskeskiaika	alta Edad Media
warhaiskevät	principios de primavera
warhaiskuntoutus	rehabilitación temprana
warhaiskypsyys	precocidad
warhaislapsuus	primera infancia
warhaisnuori	jóvenes
warhaisnuoriso	primera juventud
warhaisnuoruus	adolescencia temprana
warhaisoire	síntoma precoz
warhaisperuna	patata temprana
warhaisromantiikka	romance temprano
warhaissipuli	cebolleta
warhaissyksy	principios de otoño
warhaistoteaminen	implementación temprana
warhaistuotanto	producción temprana
warhaisuus	edad temprana
warhaisuutiset	primeras noticias
warhaisvaihe	fase inicial
warhennus	alerta temprana
warho	cuidadoso
warhohöylä	cepilladora
wari	sombra
wariaabeli	variable
wariaatio	variación
wariaatiolaskenta	cálculo de variaciones
warianssi	varianza
wariantti	variante
warietee	variedad
warietee-esitys	espectáculo de variedades
warieteelaulaja	cantante de variedades
warieteetaiteilija	artista de variedades
warieteeteatteri	teatro de variedades
warikko	cochera
warikkokäynti	parada en boxes
warikkopysähdys	parada en boxes
warikkoruusu	rosa de depósito
wariksenmarja	crowberry
wariksenmarja-mustikkatyyppi	tipo Crowberry-Blueberry
wariksenmarja-puolukkatyyppi	tipo Crowberry lingonberry
wariksenpelätin	espantapájaros
wariksenpelätti	espantapájaros
wariksenpesä	nido de cuervo
wariksenpoika	espantapájaros
wariointi	variación
waris	corneja negra
warislintu	crowbird
wariste	variste
waristelu	temblor
waristori	varistancia
waristus	escasez
warjagi	corrector
warjelu	protección
warjelus	refugio
warjo	sombra
warjoaine	producto de contraste
warjoainetutkimus	examen de contraste
warjobudjetti	presupuesto en la sombra
warjoelämä	vida en la sombra
warjohallitus	gobierno en la sombra
warjoisuus	sombras
warjojuhla	fiesta en la sombra
warjokokous	shadow Meeting
warjokuva	contorno
warjoköynnös	enredadera de sombra
warjoliidin	parapente
warjoliito	parapente
warjoliitäjä	parapente
warjolilja	lirio de sombra
warjolista	lista de sombras
warjonpuoli	lado de la sombra
warjonyrkkeily	boxeo en la sombra
warjopaikka	refugio
warjopankki	banco en la sombra
warjopuoli	lado de la sombra
warjostaja	shadower
warjostin	pantalla
warjosto	sombra
warjostuma	distorsión de luminancia
warjostus	sombreado
warjotalous	economía sumergida
warjoteatteri	teatro de sombras
warkaus	robos
warkausjuttu	caso de robo
warkausvakuutus	seguro contra robo
warmenne	certificado electrónico
warmennus	certificación
warmentaja	Autoridad certificadora
warmiste	carácter de verificación
warmistelu	seguridad
warmistin	freno
warmistus	repliegue
warmuus	robustez
warmuusetäisyys	distancia de seguridad
warmuusketju	cadena de copia de seguridad
warmuuskopio	copia de seguridad
warmuuskopiointi	copia de seguridad
warmuuslanka	hilo de seguridad
warmuuslasi	vidrio de seguridad
warmuuslukko	bloqueo de seguridad
warmuusvarasto	stock de seguridad
warmuusvarastointi	almacenamiento de emergencia
warmuusväline	dispositivo de seguridad
waroaika	tiempo de espera
waroalue	banda de protección
waroilmoitus	mensaje de advertencia
waroitin	sistema de aviso
waroittelu	advertencia
waroitus	atención
waroitusaika	tiempo de aviso
waroitushuuto	llamada de advertencia
waroituskello	timbre de advertencia
waroituskolmio	triángulo de señalización
waroituslaukaus	disparo de advertencia
waroitusmerkki	señal de aviso
waroitustaulu	panel anunciador
waroitusvalo	luz indicadora
waroitusvilkku	intermitente de advertencia
waroitusväri	coloración aposemática
waroitusääni	tono de advertencia
waroke	fusible
warokeino	medida cautelar
waroketaulu	tablero de los disyuntores
warolaite	accesorio de seguridad
waromattomuus	descuido
waromääräys	orden cautelar
warotoimi	precaución
warovaisuus	prudencia
warovaisuustoimenpide	medida cautelar
waroventtiili	limitador de presión
warovuus	cautela
warpaankynsi	uña del pie
warpaankärki	punta del dedo del pie
warpaanväli	espacio entre los dedos de los pies
warpaillakäynti	caminar con los dedos de los pies
warpaillaseisonta	posición de los dedos del pie
warpaillenousu	ascensión de los dedos de los pies
warpaiset	dedos de los pies
warpajaiset	uñas de los pies
warpio	gorrión
warppaus	robo
warppi	vARP
warpu	varpu
warpukasvi	planta de gorriones
warpukasvillisuus	vegetación de uñas de los pies
warpuluuta	gorrión
warpunen	gorrión
warpushaukka	Gavilán común
warpuslintu	pájaro gorrión
warpusparvi	bandada de gorriones
warpuspöllö	Mochuelo chico
warrantti	cuarentena
warras	varilla
warrasgrilli	barra de barbacoa
warrennos	injerto
warrennus	injerto
warsa	potro
warsankello	campana delantera
warsi	tallo
warsijousi	Ballesta
warsikenkä	botín
warsikäsikranaatti	granada de mano de tallo
warsiluuta	hueso del tallo
warsilyönti	brazada
warsimukula	seudobulbo
warsinaiskarjala	regular Karelia
warsipisto	costura del tallo
warsiselleri	celeriac
warsisto	conjunto de vástagos
warsiyökkönen	ogro de caballería
warsotus	precipitación
warsta	mayal
wartalo	cuerpo
wartalotyyppi	tipo de cuerpo
wartalovoi	mantequilla corporal
wartalovoide	loción corporal
warte	planta injerto
warteenotto	atención plena
wartevuus	certificación
wartija	guardia
wartio	vigilia
wartioalus	buque de guardia
wartioasema	estación de vigilancia
wartioimisliike	empresa de seguridad
wartiointi	seguridad
wartiointiliike	empresa de seguridad
wartiokierros	tour de patrulla
wartiokoira	perro guardián
wartiokoju	caseta de guardia
wartiolaiva	patrullero
wartiomies	centinela
wartionjohtaja	oficial de la guardia
wartionvaihto	cambio de guardia
wartiopaikka	puesto de guardia
wartiopalvelus	servicio de guardia
wartioparaati	desfile de patrullas
wartiopäällikkö	jefe de Guardia
wartiosotilas	centinela
wartiosto	patrulla
wartiotehtävä	deber de guardia
wartiotorni	atalaya
wartiotupa	guardhouse
wartiovene	lancha patrullera
wartiovuoro	turno de reloj
wartti	15 minutos
warttikilo	3/4 de kilo
warttitunti	cuarto de hora
waruillaanolo	estado de alerta
warus	en stock
warusesine	artículo de repuesto
warushenkilö	diputado
waruskunta	guarnición
waruskunta-alue	zona de guarnición
waruskuntakaupunki	ciudad guarnición
waruskuntasairaala	hospital de la guarnición
warusmies	conscripto
warusmiesaika	hora de conscripto
warusmiesaliupseeri	oficial al mando
warusmieskortti	tarjeta de recluta
warusmiespalvelus	servicio militar
warusmiestoimikunta	comité de conscriptos
warusnainen	mujer de repuesto
warusohjelma	subrutina utilitaria
warusohjelmisto	soporte lógico del sistema
warustaja	armador
warustamo	compañía
waruste	valvulería
warusteliivi	faja
warustelu	accesorios
warustelukierre	rosca de ajuste
warustelukilpa	carrera de armamentos
warustelukilpailu	concurso de equipos
warustetaso	Nivel de equipamiento.
warustus	armadura
warusvarasto	almacén de suministros
warvas	dedo de pie
warvasaskel	zócalo del dedo del pie
warvasastuja	Digitígrado
warvaskenkä	zapato de puntera
warvaslauta	tabla de pie
warvasluu	hueso del dedo del pie
warvasnivel	Articulaciones Interfalángicas de los Pies
warvassandaali	Chancleta
warvasseisonta	posición de los dedos del pie
warvastanssi	baile de seguridad
warvastossu	zapatilla de puntera
warvasväli	espacio entre los dedos de los pies
warvi	sombra
warvikko	almacenamiento
warvisto	varvisto
warvukko	varvukko
warvusto	varvisto
wasa	Vasa
wasa	Vasa
wasabi	wasabi
wasabitahna	pasta de wasabi
wasalli	vasallo
wasallimaa	tierra vasalla
wasallius	vassalus
wasallivaltio	estado vasallo
wasama	izquierda
wasara	martillo
wasarahinta	precio de martillo
wasarajuotin	agitador de martillo
wasarakirves	hacha de martillo
wasarakirveskulttuuri	cultivo de hacha de martillo
wasaramies	hammerman
wasaranisku	golpe de martillo
wasaranvarsi	brazo de martillo
wasaravarvas	puntera de martillo
wasarointi	remachado
wasektomia	Vasectomía
waseliini	vaselina neutra
wasemmisto	Izquierdista
wasemmistodiktatuuri	dictadura de izquierda
wasemmistoenemmistö	mayoría izquierda
wasemmistohallitus	gobierno de izquierdas
wasemmistolaisuus	izquierdista
wasemmistolehdistö	prensa izquierda
wasemmistolehti	cargador izquierdo
wasemmistopiiri	distrito de izquierdas
wasemmistopoliitikko	político de izquierda
wasemmistopolitiikka	política de izquierda
wasemmistopuolue	V
wasemmistosiipi	ala izquierda
wasemmistovoimat	fuerzas de izquierda
wasenkätisyys	siniestralidad
wasensuorajärjestelmä	sistema recto izquierdo
wasikanhyytelö	gelatina de ternera
wasikankyljys	chuleta de ternera
wasikanleike	clip de pantorrilla
wasikanliha	carne de ternera
wasikannahka	becerros
wasikanpaisti	asado de ternera
wasikanpyy	trampa para terneros
wasikanviillokki	rodaja de ternera
wasikanviilokki	lima de ternero gaviota
wasikanvuota	piel de becerro
wasikka	becerro
wasikkahaka	gancho de ternera
wasikkahyytelö	gelatina de ternera
wasikkakarsina	bolígrafo para terneros
wasikkaturkki	abrigo de ternera
wasikointi	parto
waskaus	cobreado
waski	cobre
waskikala	espinoso
